Status,Date,Description,Debit,Credit
Cleared,11/09/2019,"RITE AID STORE - 10298 PLAISTOW NH",10.00,
Cleared,11/09/2019,"RITE AID STORE - 10298 PLAISTOW NH",12.77,
Cleared,11/09/2019,"BODA BORG - BOSTON MALDEN MA",24.00,
Cleared,11/08/2019,"TST* TATTE BAKERY CAMBRIDGE MA",8.00,
Cleared,11/08/2019,"SUSHI TIME PLAISTOW NH",27.98,
Cleared,11/08/2019,"NH LIQUOR STORE #49 PLAISTOW NH",28.97,
Cleared,11/05/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,11/05/2019,"SQ *SQ *GOGI ON THE BL Lexington MA",11.77,
Cleared,11/04/2019,"TTA*TERRITORY AHEAD 800-882-4323 CA",49.74,
Cleared,11/04/2019,"MBTA HARVARD CAMBRIDGE MA",90.00,
Cleared,11/03/2019,"TST* SUSHI UMAI BOSTON MA",46.04,
Cleared,11/02/2019,"BLUEBIKES 8559482929 MA",2.66,
Cleared,11/02/2019,"MUJI NEWBURY 617502117 BOSTON MA",37.04,
Cleared,11/01/2019,"H MART CAMBRIDGE LLC CAMBRIDGE MA",49.42,
Cleared,10/31/2019,"FELIPES TAQUERIA CAMBRIDGE MA",10.06,
Cleared,10/29/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.70,
Cleared,10/28/2019,"CVS/PHARMACY #00240 CAMBRIDGE MA",9.58,
Cleared,10/26/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.43,
Cleared,10/25/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",12.76,
Cleared,10/25/2019,"FELIPES TAQUERIA CAMBRIDGE MA",11.71,
Cleared,10/24/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,10/23/2019,"TRADER JOE'S #502 QPS CAMBRIDGE MA",11.36,
Cleared,10/23/2019,"WHISKEY STEAKHOUSE&SAL BOSTON MA",24.50,
Cleared,10/22/2019,"MBTA MTICKET 617-222-3200 MA",7.00,
Cleared,10/22/2019,"SOFAR SOUNDS LLC 6468465019 NY",20.00,
Cleared,10/22/2019,"SOMERVILLE THEATRE SOMERVILLE MA",24.00,
Cleared,10/20/2019,"TST* EL JEFE'S TAQUERI CAMBRIDGE MA",9.37,
Cleared,10/20/2019,"9 TASTES CAMBRIDGE MA",21.24,
Cleared,10/19/2019,"DUNKIN #352979 Q35 CAMBRIDGE MA",17.03,
Cleared,10/18/2019,"AMZN Mktp US*NU7HD7BX3 Amzn.com/bill WA",5.29,
Cleared,10/18/2019,"AMZN Mktp US*DK7PS4A73 Amzn.com/bill WA",31.82,
Cleared,10/18/2019,"UNIVERSITY MARKET CAMBRIDGE MA",12.13,
Cleared,10/17/2019,"Amazon Prime 8665572820 WA",12.99,
Cleared,10/17/2019,"TARGET 00032227 CAMBRIDGE MA",31.50,
Cleared,10/17/2019,"AMZN Mktp US*J514W7MY3 Amzn.com/bill WA",47.76,
Cleared,10/16/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,10/16/2019,"BBC CAMBRIDGE CAMBRIDGE MA",31.23,
