Status,Date,Description,Debit,Credit
Cleared,09/29/2019,"FELIPES TAQUERIA CAMBRIDGE MA",25.47,
Cleared,09/28/2019,"ARAMARK FENWAY PARK BOSTON MA",11.00,
Cleared,09/28/2019,"AMZN MKTP US*CD85Q4WS3 AMZN.COM/BILL WA",12.30,
Cleared,09/28/2019,"ARAMARK FENWAY PARK BOSTON MA",22.00,
Cleared,09/28/2019,"BBC CAMBRIDGE CAMBRIDGE MA",30.68,
Cleared,09/27/2019,"SQUARE *SQ *CHEF LOUIE Cambridge MA",11.00,
Cleared,09/27/2019,"SQU*SQ *CHEAPO RECORDS DUXBURY MA",15.93,
Cleared,09/27/2019,"AMAZON.COM*6N7QW1ZY3 A AMZN.COM/BILL WA",58.41,
Cleared,09/26/2019,"SQUARE *SQ *CHEF LOUIE Cambridge MA",7.48,
Cleared,09/25/2019,"TARGET 00032227 CAMBRIDGE MA",3.18,
Cleared,09/24/2019,"TST* FOUNDRY ON ELM SOMERVILLE MA",13.91,
Cleared,09/24/2019,"MUSEUM OF SCIENCE BOSTON MA",5.00,
Cleared,09/22/2019,"POSTMATES 43DB8 PINOCC 8778877815 CA",57.33,
Cleared,09/22/2019,"JP LICKS CAMBRIDGE MA",5.50,
Cleared,09/21/2019,"MBTA SOUTH STATN BOSTON MA",2.90,
Cleared,09/21/2019,"INSOMNIA COOKIES - CAM CAMBRIDGE MA",7.12,
Cleared,09/21/2019,"THE GARMENT DISTRICT CAMBRIDGE MA",48.00,
Cleared,09/20/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",10.48,
Cleared,09/20/2019,"Amazon.com*WS8OK6P73 Amzn.com/bill WA",273.05,
Cleared,09/19/2019,"SP * ISLANDERS OUTF. 8002722065 FL",,-15.39
Cleared,09/19/2019,"TARGET 00032227 CAMBRIDGE MA",53.53,
Cleared,09/19/2019,"MEMBERSHIP FEE SEP 19-AUG 20",0.00,
Cleared,09/17/2019,"AMZN Mktp US*W78VQ4M33 Amzn.com/bill WA",25.49,
Cleared,09/16/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",6.74,
Cleared,09/15/2019,"TST* EL JEFE'S TAQUERI CAMBRIDGE MA",9.09,
Cleared,09/14/2019,"Microsoft*Xbox Redmond WA",4.99,
Cleared,09/14/2019,"TAVERN IN THE SQUARE ALLSTON MA",6.35,
Cleared,09/14/2019,"TAVERN IN THE SQUARE ALLSTON MA",9.56,
Cleared,09/13/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",3.00,
Cleared,09/13/2019,"DANA HILL LIQUORS CAMBRIDGE MA",11.99,
Cleared,09/13/2019,"Microsoft*Xbox Redmond WA",59.99,
Cleared,09/12/2019,"MARKET BASKET 00000281 SOMERVILLE MA",183.04,
Cleared,09/11/2019,"AUGUSTA SUBS BILLERICA MA",12.31,
Cleared,09/10/2019,"ONLINE PAYMENT, THANK YOU",,-792.11
Cleared,09/10/2019,"SP * ISLANDERS OUTF. 8002722065 FL",30.78,
Cleared,09/10/2019,"AMZN Mktp US*MO5DK4S00 Amzn.com/bill WA",39.94,
Cleared,09/09/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",4.01,
Cleared,09/08/2019,"BELL IN HAND TAVERN BOSTON MA",11.71,
Cleared,09/07/2019,"TARGET 00032227 CAMBRIDGE MA",5.67,
Cleared,09/07/2019,"DAEDALUS CAMBRIDGE MA",10.63,
Cleared,09/07/2019,"THE GARMENT DISTRICT CAMBRIDGE MA",45.11,
Cleared,09/07/2019,"BBC CAMBRIDGE CAMBRIDGE MA",167.31,
Cleared,09/06/2019,"SQ *SQ *PAVEMENT COFFE Cambridge MA",4.01,
Cleared,09/06/2019,"MBTA HARVARD CAMBRIDGE MA",5.80,
Cleared,09/05/2019,"SQUARE *SQ *CHEF LOUIE Cambridge MA",7.00,
Cleared,09/04/2019,"SQUARE *SQ *CHEF LOUIE Cambridge MA",11.77,
Cleared,09/04/2019,"AMZN Pickup*MO75G5MB0 Amzn.com/bill WA",76.48,
Cleared,09/03/2019,"SQ *SQ *GOGI ON THE BL Lexington MA",10.70,
Cleared,09/02/2019,"Blizzard Entertainment Irvine CA",14.99,
Cleared,09/02/2019,"BROWNPAPERTICKETS COM 800-838-3006 WA",71.16,
Cleared,09/02/2019,"BORDER CAFE CAMBRIDGE MA",23.40,
Cleared,09/02/2019,"MBTA HARVARD CAMBRIDGE MA",90.00,
